Country,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 
European Union,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 61.1650000, 65.6458333, 68.7000000, 70.7316667, 73.0733333, 75.4150000, 77.3200000, 78.9758333, 80.7841667, 82.6275000, 84.5383333, 86.5400000, 89.7191667, 90.6091667, 92.4875000, 95.3516667, 97.8733333, 99.3508333, 99.8983333, 100.0008333, 100.2450000, 101.9633333, 103.8916667, 105.4433185, 107.0407321, 108.8119890 
European Union excluding UK,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 71.6000000, 73.1291667, 75.7300000, 77.8125000, 79.5866667, 81.5508333, 83.4500000, 85.3766667, 87.4091667, 90.6416667, 91.3483333, 93.0341667, 95.6883333, 98.1925000, 99.4933333, 99.8883333, 100.0000000, 100.1800000, 101.7425000, 103.5675000, 105.0449125, 106.5298007, 108.1849921 
European Union (15 countries),(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 70.7691355, 72.0041667, 72.9724469, 73.8822650, 75.3390387, 77.0169085, 78.6633196, 80.2387073, 81.8249951, 83.5845892, 85.4468524, 87.2934285, 90.2124466, 90.8147167, 92.5595646, 95.3261952, 97.7192307, 99.2266706, 99.8293866, 100.0000000, 100.3275503, 102.0812467, 103.9851762, 105.3278181, 106.7177613, 108.3072757 
Euro area,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 71.2300000, 72.4400000, 73.3300000, 74.1900000, 75.8100000, 77.6400000, 79.4000000, 81.0825000, 82.8475000, 84.6658333, 86.5341667, 88.4075000, 91.3650000, 91.6541667, 93.1308333, 95.6691667, 98.0591667, 99.3816667, 99.8075000, 99.9991667, 100.2341667, 101.7758333, 103.5616667, 104.8180551, 106.0523167, 107.4768034 
Euro area (12 countries),(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 71.3885549, 72.5842931, 73.4713794, 74.3299845, 75.9594354, 77.7896064, 79.5687379, 81.2430287, 82.9872612, 84.7959584, 86.6533525, 88.4929772, 91.3819848, 91.6518676, 93.1105399, 95.6237744, 98.0028914, 99.3457756, 99.7939878, 100.0000000, 100.2477021, 101.7718704, 103.5529668, 104.7806996, 105.9880174, 107.3909169 
Belgium,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 63.7212460, 65.1552823, 66.7748860, 68.3721746, 69.2412876, 70.4758333, 71.5350000, 72.1841667, 73.0033333, 74.9591667, 76.7841667, 77.9725000, 79.1550000, 80.6250000, 82.6708333, 84.5950000, 86.1316667, 89.9983333, 89.9925000, 92.0925000, 95.1800000, 97.6791667, 98.8983333, 99.3833333, 99.9991667, 101.7691667, 104.0325000, 106.4366667, 107.8179834, 109.3665517, 110.8899232 
Bulgaria,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 40.2716667, 47.7941667, 49.0233333, 54.0816667, 58.0608333, 61.4358333, 62.8783333, 66.7450000, 70.7750000, 76.0233333, 81.7800000, 91.5533333, 93.8133333, 96.6641667, 99.9375000, 102.3266667, 102.7208333, 101.0766667, 99.9983333, 98.6758333, 99.8483333, 102.4758333, 104.9021605, 106.6153526, 108.8568560 
Czechia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 53.9428136, 58.8416667, 63.5666667, 69.7333333, 70.9916667, 73.7916667, 77.1333333, 78.2416667, 78.1833333, 80.2083333, 81.4666667, 83.1750000, 85.6166667, 90.9916667, 91.5333333, 92.6333333, 94.6333333, 97.9750000, 99.3416667, 99.7500000, 100.0083333, 100.6583333, 103.1000000, 105.1166667, 107.7983622, 110.2870998, 112.5355869 
Denmark,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 62.6452215, 64.2113520, 65.6010274, 66.8797673, 67.4857373, 68.7084131, 70.1159813, 71.5666667, 72.9500000, 73.9083333, 75.4166667, 77.4916667, 79.2500000, 81.1500000, 82.7416667, 83.5166667, 84.9583333, 86.5250000, 87.9583333, 91.1583333, 92.1083333, 94.1333333, 96.6333333, 98.9083333, 99.4250000, 99.7750000, 100.0000000, 100.0166667, 101.0750000, 101.7916667, 102.5655144, 103.9373628, 105.4049695 
Germany,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 75.2816435, 75.7333333, 76.8750000, 77.3333333, 77.8333333, 78.9333333, 80.4333333, 81.5000000, 82.3750000, 83.8416667, 85.4583333, 86.9750000, 88.9500000, 91.4000000, 91.6250000, 92.6500000, 94.9500000, 97.0000000, 98.5583333, 99.3166667, 99.9916667, 100.3583333, 102.0666667, 104.0416667, 105.4154094, 106.6904516, 108.1759557 
Estonia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 38.1435690, 45.6966667, 49.9516667, 54.3383333, 56.0216667, 58.2241667, 61.5000000, 63.7066667, 64.5900000, 66.5525000, 69.2925000, 72.3716667, 77.2533333, 85.4466667, 85.6166667, 87.9633333, 92.4316667, 96.3316667, 99.4591667, 99.9325000, 100.0000000, 100.8000000, 104.4800000, 108.0450000, 110.6391289, 112.9432634, 115.4565040 
Ireland,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 65.8286013, 67.6718021, 69.1333333, 70.0000000, 71.5000000, 73.2500000, 77.1166667, 80.1916667, 83.9583333, 87.3333333, 89.3416667, 91.2916667, 93.7416667, 96.4416667, 99.4500000, 97.7666667, 96.1916667, 97.3583333, 99.2083333, 99.7333333, 100.0333333, 100.0000000, 99.7916667, 100.0500000, 100.7666667, 101.6130911, 102.6900660, 104.1788778 
Greece,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 52.1913740, 56.8364063, 61.3066667, 64.6425000, 67.5625000, 69.0091667, 71.0083333, 73.5941667, 76.4800000, 79.1183333, 81.5075000, 84.3491667, 87.1441667, 89.7491667, 93.5458333, 94.8058333, 99.2658333, 102.3608333, 103.4200000, 102.5366667, 101.1075000, 100.0016667, 100.0150000, 101.1533333, 101.9366667, 102.4539646, 103.0677750, 103.9673518 
Spain,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 54.6354941, 57.2974730, 59.9486308, 62.6917677, 64.9266667, 66.1466667, 67.3141667, 68.8166667, 71.2150000, 73.2266667, 75.8558333, 78.2100000, 80.5983333, 83.3258333, 86.2933333, 88.7466667, 92.4125000, 92.1916667, 94.0750000, 96.9441667, 99.3058333, 100.8250000, 100.6333333, 100.0000000, 99.6633333, 101.6925000, 103.4575000, 104.3940212, 105.5224948, 106.9511453 
France,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 65.4826895, 67.7120735, 69.3482040, 70.8781734, 72.1083937, 73.4010617, 74.9325000, 75.8833333, 76.3958333, 76.8341667, 78.2266667, 79.6208333, 81.1641667, 82.9266667, 84.8641667, 86.4675000, 88.1033333, 89.5150000, 92.3433333, 92.4375000, 94.0450000, 96.2000000, 98.3341667, 99.3075000, 99.9141667, 100.0008333, 100.3058333, 101.4716667, 103.6016667, 104.9753851, 106.3148379, 107.6467351 
Croatia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 63.9700000, 66.3666667, 69.3216667, 72.2750000, 74.1066667, 75.8841667, 77.5108333, 79.8325000, 82.4575000, 84.6500000, 89.5625000, 91.5550000, 92.5466667, 94.5916667, 97.7633333, 100.0375000, 100.2575000, 100.0008333, 99.3708333, 100.6650000, 102.2325000, 103.3410024, 104.7945714, 106.3280251 
Italy,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 48.4816070, 51.4874667, 54.6886712, 57.4105511, 60.0011872, 62.5062296, 65.8729154, 68.4916667, 69.8000000, 71.1583333, 72.3250000, 74.2166667, 75.9416667, 77.9250000, 80.1166667, 81.9250000, 83.7333333, 85.6000000, 87.3333333, 90.3833333, 91.0750000, 92.5500000, 95.2666667, 98.4250000, 99.6500000, 99.8833333, 99.9916667, 99.9416667, 101.2666667, 102.5250000, 103.1611454, 103.9628647, 105.1221328 
Cyprus,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 66.8108333, 69.0233333, 70.6341667, 71.4391667, 74.9083333, 76.3983333, 78.5258333, 81.6483333, 83.1975000, 84.8833333, 86.7900000, 88.6683333, 92.5516667, 92.7125000, 95.0866667, 98.4016667, 101.4508333, 101.8383333, 101.5733333, 99.9991667, 98.7816667, 99.4466667, 100.2341667, 100.8141145, 101.5652242, 102.8454717 
Latvia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 46.7150000, 50.4866667, 52.6550000, 53.7683333, 55.1841667, 56.5783333, 57.6891667, 59.3850000, 63.0591667, 67.4041667, 71.8333333, 79.0750000, 91.1366667, 94.1066667, 92.9550000, 96.8800000, 99.0941667, 99.1050000, 99.7891667, 100.0016667, 100.1008333, 102.9975000, 105.6283333, 108.8710443, 111.5386592, 114.1406667 
